,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
5489,221504,Gonda_Varsara_D (Uttar Pradesh),Gonda_Varsara_D (Uttar Pradesh),Gonda_Varsara_D (Uttar Pradesh),Gonda,Uttar Pradesh,TRUE
5490,683555,Muvattupuzha_Anicadu_D (Kerala),Muvattupuzha_Anicadu_D (Kerala),Muvattupuzha_Anicadu_D (Kerala),Muvattupuzha,Kerala,TRUE
5491,144527,Garhshankar_Ward10_D (Punjab),Garhshankar_Ward10_D (Punjab),Garhshankar_Ward10_D (Punjab),Garhshanker,Punjab,TRUE
5492,394352,Surat_Kacholi_GW (Gujarat),Surat_Kacholi_GW (Gujarat),Surat_Kacholi_GW (Gujarat),Surat,Gujarat,FALSE
5493,587205,Kerur_WardNo2_D (Karnataka),Kerur_WardNo2_D (Karnataka),Kerur_WardNo2_D (Karnataka),Kerur,Karnataka,TRUE
5494,361001,Jamnagar_Kansumara_L (Gujarat),Jamnagar_Kansumara_L (Gujarat),Jamnagar_Kansumara_L (Gujarat),Jamnagar,Gujarat,FALSE
5495,176041,Bhota_BpassDPP_D (Himachal Pradesh),Bhota_BpassDPP_D (Himachal Pradesh),Bhota_BpassDPP_D (Himachal Pradesh),Bhota,Himachal Pradesh,FALSE
5496,391510,Vadodara_Dashrath_H (Gujarat),Vadodara_Temp_H (Gujarat),Vadodara_Dashrath_H (Gujarat),Vadodara,Gujarat,FALSE
5497,721232,Ghatal_KrshDPP_D (West Bengal),Ghatal_KrshDPP_D (West Bengal),Ghatal_KrshDPP_D (West Bengal),Ghatal,West Bengal,TRUE
5498,441613,Gondia_Mundipar_I (Maharashtra),Gondia_Mundipar_I (Maharashtra),Gondia_Mundipar_I (Maharashtra),Gondia,Maharashtra,TRUE
5499,412114,Pune_GandharvNagari_L (Maharashtra),Pune_BhamboliMIDC_H (Maharashtra),Pune_Sudhwadi_GW (Maharashtra),Pune,Maharashtra,FALSE
5500,689665,Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta,Kerala,TRUE
5501,285203,Pukhrayan_Arulimod_D (Uttar Pradesh),Pukhrayan_Arulimod_D (Uttar Pradesh),Pukhrayan_Arulimod_D (Uttar Pradesh),Pukhrayan,Uttar Pradesh,TRUE
5502,530012,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
5503,143521,Gurdaspur_Civillines_D (Punjab),Gurdaspur_Civillines_D (Punjab),Gurdaspur_Civillines_D (Punjab),Gurdaspur,Punjab,TRUE
5504,500066,Hyderabad_Shamshbd_H (Telangana),Hyderabad_Shamshbd_H (Telangana),Hyderabad_Shamshbd_H (Telangana),Hyderabad,Telangana,FALSE
5505,721446,Contai_Fatepur_DPP (West Bengal),Contai_Fatepur_DPP (West Bengal),Contai_Fatepur_DPP (West Bengal),RamnagarWB,West Bengal,TRUE
5506,456441,Alote_PanchamViharColony_D (Madhya Pradesh),Alote_PanchamViharColony_D (Madhya Pradesh),Alote_PanchamViharColony_D (Madhya Pradesh),Alote,Madhya Pradesh,TRUE
5507,742137,Khargram_Kandi_D (West Bengal),Khargram_Kandi_D (West Bengal),Khargram_Kandi_D (West Bengal),Khargram,West Bengal,TRUE
5508,180006,Jammu_TransportNagar1_L (Jammu & Kashmir),Jammu_Baribrahmana_H (Jammu & Kashmir),Jammu_TransportNagar1_L (Jammu & Kashmir),Jammu,Jammu & Kashmir,FALSE
5509,591113,Belgaum_MarutiNagar_I (Karnataka),Belgaum_MarutiNagar_I (Karnataka),Belgaum_MarutiNagar_I (Karnataka),Belgaum,Karnataka,FALSE
5510,342027,Jodhpur_Temp_L (Rajasthan),Jodhpur_BasniPhase2_P (Rajasthan),Jodhpur_Temp_L (Rajasthan),Jodhpur,Rajasthan,TRUE
5511,562158,Bangalore_BmsdraPhase3_L (Karnataka),Bangalore_BmsdraPhase3_L (Karnataka),Bangalore_BmsdraPhase3_L (Karnataka),Bangalore,Karnataka,FALSE
5512,502103,Siddipet_GaneshNagar_D (Telangana),Siddipet_GaneshNagar_D (Telangana),Siddipet_GaneshNagar_D (Telangana),Siddipet,Telangana,TRUE
5513,574148,Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore,Karnataka,TRUE
5514,534126,Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku,Andhra Pradesh,TRUE
5515,415517,Wai_Panchwad_D (Maharashtra),Wai_Panchwad_D (Maharashtra),Wai_Panchwad_D (Maharashtra),Wai,Maharashtra,TRUE
5516,250221,Daurala_Ward6_D (Uttar Pradesh),Daurala_Ward6_D (Uttar Pradesh),Daurala_Ward6_D (Uttar Pradesh),Daurala,Uttar Pradesh,FALSE
5517,843317,Sonbarsa_Sitamarhi_D (Bihar),Sonbarsa_Sitamarhi_D (Bihar),Sonbarsa_Sitamarhi_D (Bihar),Sonbarsa,Bihar,TRUE
5518,143303,Patti_Bhikhiwind1_D (Punjab),Patti_Bhikhiwind1_D (Punjab),Patti_Bhikhiwind1_D (Punjab),Patti,Punjab,TRUE
5519,638311,Anthiyur_PazhaiyaMettur_D (Tamil Nadu),Anthiyur_PazhaiyaMettur_D (Tamil Nadu),Anthiyur_PazhaiyaMettur_D (Tamil Nadu),Anthiyour,Tamil Nadu,TRUE
5520,487337,Tendukheda_AadhaarCntr_D (Madhya Pradesh),Tendukheda_AadhaarCntr_D (Madhya Pradesh),Tendukheda_AadhaarCntr_D (Madhya Pradesh),Gadarwara,Madhya Pradesh,FALSE
5521,788152,Hailakandi_GangprDhmkr_D (Assam),Hailakandi_GangprDhmkr_D (Assam),Hailakandi_GangprDhmkr_D (Assam),Hailakandi,Assam,TRUE
5522,534250,Palakollu_Maruthinagar_D (Andhra Pradesh),Palakollu_Maruthinagar_D (Andhra Pradesh),Palakollu_Maruthinagar_D (Andhra Pradesh),Palakollu,Andhra Pradesh,TRUE
5523,416814,Oras_Ranbambuli_D (Maharashtra),Oras_Ranbambuli_D (Maharashtra),Oras_Ranbambuli_D (Maharashtra),Oras,Maharashtra,FALSE
5524,328025,Rajakhera_Ward24_DPP (Rajasthan),Rajakhera_Ward24_DPP (Rajasthan),Rajakhera_Ward24_DPP (Rajasthan),Rajakhera,Rajasthan,FALSE
5525,847108,Phulparas_Mahadeomath_D (Bihar),Phulparas_Mahadeomath_D (Bihar),Phulparas_Mahadeomath_D (Bihar),Phulparas,Bihar,FALSE
5526,302804,DeoliRJ_AmbedkarColny_DPP (Rajasthan),DeoliRJ_AmbedkarColny_DPP (Rajasthan),DeoliRJ_AmbedkarColny_DPP (Rajasthan),Deoli-RJ,Rajasthan,TRUE
5527,522549,Narasaraopet_SBalajiNgr_D (Andhra Pradesh),Narasaraopet_SBalajiNgr_D (Andhra Pradesh),Narasaraopet_SBalajiNgr_D (Andhra Pradesh),Narasaraopet,Andhra Pradesh,TRUE
5528,783331,Dhubri_Tetultol_D (Assam),Dhubri_Tetultol_D (Assam),Dhubri_Tetultol_D (Assam),Dhubri,Assam,TRUE
5529,134003,Chandigarh_RamNagar1_L (Punjab),Chandigarh_RamNagar_GW (Punjab),Chandigarh_RamNagar1_L (Punjab),Rajpura,Punjab,FALSE
5530,222127,Mungra_Machalishahar_D (Uttar Pradesh),Mungra_Machalishahar_D (Uttar Pradesh),Mungra_Machalishahar_D (Uttar Pradesh),Mungra Badshahpur,Uttar Pradesh,TRUE
5531,621210,Thuraiyur_SorathurRd_D (Tamil Nadu),Thuraiyur_SorathurRd_D (Tamil Nadu),Thuraiyur_SorathurRd_D (Tamil Nadu),Thuraiyur,Tamil Nadu,TRUE
5532,382780,Viramgam_Dasada2_D (Gujarat),Viramgam_Dasada2_D (Gujarat),Viramgam_Dasada2_D (Gujarat),Viramgam,Gujarat,FALSE
5533,382422,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,FALSE
5534,673617,Kozhikode_Central_H (Kerala),Kozhikode_Central_H (Kerala),Kozhikode_Central_H (Kerala),Kozhikode,Kerala,TRUE
5535,184101,Kathua_Kharote1_D (Jammu & Kashmir),Kathua_Kharote1_D (Jammu & Kashmir),Kathua_Kharote1_D (Jammu & Kashmir),Kathua,Jammu & Kashmir,TRUE
5536,813206,Kahalgaon_Budhuchak_D (Bihar),Kahalgaon_Budhuchak_D (Bihar),Kahalgaon_Budhuchak_D (Bihar),Kahalgaon,Bihar,TRUE
5537,509130,AtmakurTS_Somsagar_D (Telangana),AtmakurTS_Somsagar_D (Telangana),AtmakurTS_Somsagar_D (Telangana),Atmakur-TS,Telangana,TRUE
5538,515201,Hindupur_Sadlapalli_D (Andhra Pradesh),Hindupur_Sadlapalli_D (Andhra Pradesh),Hindupur_Sadlapalli_D (Andhra Pradesh),Hindupur,Andhra Pradesh,TRUE
5539,301019,Gurgaon_Pathradi_L (Haryana),Gurgaon_Tauru_GW (Haryana),Gurgaon_Pathradi_L (Haryana),Bilaspur-HR,Haryana,FALSE
5540,412208,Pune_Bakoriphata_L (Maharashtra),Pune_Bakoriphata_L (Maharashtra),Pune_Bakoriphata_L (Maharashtra),Pune,Maharashtra,FALSE
5541,262001,Pilibhit_OfficersColony_D (Uttar Pradesh),Pilibhit_OfficersColony_D (Uttar Pradesh),Pilibhit_OfficersColony_D (Uttar Pradesh),Pilibhit,Uttar Pradesh,TRUE
5542,271801,Bahraich_Susrauli_H (Uttar Pradesh),Bahraich_Susrauli_H (Uttar Pradesh),Bahraich_Susrauli_H (Uttar Pradesh),Bahraich,Uttar Pradesh,TRUE
5543,713363,Durgapur_Bamunara1_I (West Bengal),Durgapur_Bamunara1_I (West Bengal),Durgapur_Bamunara1_I (West Bengal),Durgapur,West Bengal,FALSE
5544,460443,Sarni_Ward36_D (Madhya Pradesh),Sarni_Ward36_D (Madhya Pradesh),Sarni_Ward36_D (Madhya Pradesh),Sarni,Madhya Pradesh,TRUE
5545,403718,Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa,Goa,FALSE
5546,522515,Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur,Andhra Pradesh,TRUE
5547,785109,Bokakhat_Latabari_D (Assam),Bokakhat_Latabari_D (Assam),Bokakhat_Latabari_D (Assam),Bokakhat,Assam,FALSE
5548,518222,Dhone_Autonagar_D (Andhra Pradesh),Dhone_Autonagar_D (Andhra Pradesh),Dhone_Autonagar_D (Andhra Pradesh),Dhone,Andhra Pradesh,TRUE
5549,591297,Chikodi_Prabhuwadi_D (Karnataka),Chikodi_Prabhuwadi_D (Karnataka),Chikodi_Prabhuwadi_D (Karnataka),Chikodi,Karnataka,TRUE
5550,700096,Kolkata_Nazirabad_L (West Bengal),Kolkata_Nazirabad_L (West Bengal),Kolkata_Nazirabad_L (West Bengal),Kolkata,West Bengal,FALSE
5551,457333,Jaora_AdityaNagar_D (Madhya Pradesh),Jaora_AdityaNagar_D (Madhya Pradesh),Jaora_AdityaNagar_D (Madhya Pradesh),Jaora,Madhya Pradesh,FALSE
5552,341512,Makrana_Parbatsar_D (Rajasthan),Makrana_Parbatsar_D (Rajasthan),Makrana_Parbatsar_D (Rajasthan),Makrana,Rajasthan,FALSE
5553,686037,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,TRUE
5554,761120,Bhanjanagar_Laxmivihar_D (Orissa),Bhanjanagar_Laxmivihar_D (Orissa),Bhanjanagar_Laxmivihar_D (Orissa),Bhanjanagar,Orissa,TRUE
5555,502371,Narayankhed_Turkapally_D (Telangana),Narayankhed_Turkapally_D (Telangana),Narayankhed_Turkapally_D (Telangana),Narayankhed,Telangana,TRUE
5556,765023,Gunupur_GnprMkt_DPP (Orissa),Gunupur_GnprMkt_DPP (Orissa),Gunupur_GnprMkt_DPP (Orissa),Gunupur,Orissa,FALSE
5557,638052,Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode,Tamil Nadu,FALSE
5558,691001,Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam,Kerala,FALSE
5559,193198,Baramulla_Pattan_D (Jammu & Kashmir),Baramulla_Pattan_D (Jammu & Kashmir),Baramulla_Pattan_D (Jammu & Kashmir),Baramulla,Jammu & Kashmir,FALSE
5560,458669,Mandsaur_Dalodarail_D (Madhya Pradesh),Mandsaur_Dalodarail_D (Madhya Pradesh),Mandsaur_Dalodarail_D (Madhya Pradesh),Mandsaur,Madhya Pradesh,FALSE
5561,284406,Mahrauni_Kuwanghosi_D (Uttar Pradesh),Mahrauni_Kuwanghosi_D (Uttar Pradesh),Mahrauni_Kuwanghosi_D (Uttar Pradesh),Mahrauni,Uttar Pradesh,TRUE
5562,223104,Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj,Uttar Pradesh,TRUE
5563,642129,Pollachi_MahalakshmiNgr_D (Tamil Nadu),Pollachi_MahalakshmiNgr_D (Tamil Nadu),Pollachi_MahalakshmiNgr_D (Tamil Nadu),Pollachi,Tamil Nadu,TRUE
5564,735231,Jholung_Gorubathan_DPP (West Bengal),Jholung_Gorubathan_DPP (West Bengal),Jholung_Gorubathan_DPP (West Bengal),Jholung,West Bengal,TRUE
5565,396580,Vansda_Chikatiya_D (Gujarat),Vansda_Chikatiya_D (Gujarat),Vansda_Chikatiya_D (Gujarat),Vansda,Gujarat,TRUE
5566,756129,Tihidi_Orada1_DPP (Orissa),Tihidi_Orada1_DPP (Orissa),Tihidi_Orada1_DPP (Orissa),Tihidi,Orissa,TRUE
5567,782135,Puranaigudam_Gomotha_DPP (Assam),Puranaigudam_Gomotha_DPP (Assam),Puranaigudam_Gomotha_DPP (Assam),Puranaigudam,Assam,TRUE
5568,673592,SultanBathery_Kolagapara_D (Kerala),SultanBathery_Kolagapara_D (Kerala),SultanBathery_Kolagapara_D (Kerala),Sultan Bathery,Kerala,TRUE
5569,518349,KosigiAP_RangappaGattu_D (Andhra Pradesh),KosigiAP_RangappaGattu_D (Andhra Pradesh),KosigiAP_RangappaGattu_D (Andhra Pradesh),KosigiAP,Andhra Pradesh,TRUE
5570,503111,Kamareddy_AshokNgr_D (Telangana),Kamareddy_AshokNgr_D (Telangana),Kamareddy_AshokNgr_D (Telangana),Kamareddy,Telangana,TRUE
5571,410410,Lonavala_Maval_D (Maharashtra),Lonavala_Maval_D (Maharashtra),Lonavala_Maval_D (Maharashtra),Lonavala,Maharashtra,TRUE
5572,852107,Madhepura_Azadnagar_D (Bihar),Madhepura_Azadnagar_D (Bihar),Madhepura_Azadnagar_D (Bihar),Madhepura,Bihar,FALSE
5573,848101,Samastipur_RhmprRdli_D (Bihar),Samastipur_RhmprRdli_D (Bihar),Samastipur_RhmprRdli_D (Bihar),Samastipur,Bihar,TRUE
5574,244302,Chandausi_Gumtal_D (Uttar Pradesh),Chandausi_Gumtal_D (Uttar Pradesh),Chandausi_Gumtal_D (Uttar Pradesh),Chandausi,Uttar Pradesh,TRUE
5575,829114,Phusro_SinghNagar_D (Jharkhand),Phusro_SinghNagar_D (Jharkhand),Phusro_SinghNagar_D (Jharkhand),Phusro,Jharkhand,TRUE
5576,273155,Anandnagar_DhniDhla_DPP (Uttar Pradesh),Anandnagar_DhniDhla_DPP (Uttar Pradesh),Anandnagar_DhniDhla_DPP (Uttar Pradesh),Anandnagar,Uttar Pradesh,TRUE
5577,415709,Khed_BharanaNaka_D (Maharashtra),Khed_BharanaNaka_D (Maharashtra),Khed_BharanaNaka_D (Maharashtra),Khed,Maharashtra,TRUE
5578,641015,Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore,Tamil Nadu,FALSE
5579,485771,Maihar_Harnampur1_D (Madhya Pradesh),Maihar_Harnampur1_D (Madhya Pradesh),Maihar_Harnampur1_D (Madhya Pradesh),Maihar,Madhya Pradesh,TRUE
5580,686016,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,FALSE
5581,600065,Chennai_Velappanchavadi_L (Tamil Nadu),Chennai_Velappanchavadi_L (Tamil Nadu),Chennai_Velappanchavadi_L (Tamil Nadu),Chennai,Tamil Nadu,FALSE
5582,673542,Vadakara_Veerancheri_D (Kerala),Vadakara_Veerancheri_D (Kerala),Vadakara_Veerancheri_D (Kerala),Vadakara,Kerala,TRUE
5583,854311,Araria_Shivpuri_D (Bihar),Araria_Shivpuri_D (Bihar),Araria_Shivpuri_D (Bihar),Araria,Bihar,TRUE
5584,391350,Vadodara_Dashrath_H (Gujarat),Vadodara_Temp_H (Gujarat),Vadodara_Dashrath_H (Gujarat),Vadodara,Gujarat,FALSE
5585,244235,Gajraula_JawaharNagar_D (Uttar Pradesh),Gajraula_JawaharNagar_D (Uttar Pradesh),Gajraula_JawaharNagar_D (Uttar Pradesh),Gajraula,Uttar Pradesh,TRUE
5586,680595,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,FALSE
5587,396051,Valsad_Dharampur_D (Gujarat),Valsad_Dharampur_D (Gujarat),Valsad_Dharampur_D (Gujarat),Valsad,Gujarat,TRUE
5588,764063,Nabarangpr_PhdofDPP_D (Orissa),Nabarangpr_PhdofDPP_D (Orissa),Nabarangpr_PhdofDPP_D (Orissa),Nabarangapur,Orissa,TRUE
5589,444723,Paratwada_Hardenagar_D (Maharashtra),Paratwada_Hardenagar_D (Maharashtra),Paratwada_Hardenagar_D (Maharashtra),Paratwada,Maharashtra,TRUE
5590,306902,Sumerpur_Angor_D (Rajasthan),Sumerpur_Angor_D (Rajasthan),Sumerpur_Angor_D (Rajasthan),Sumerpur,Rajasthan,TRUE
5591,570014,Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore,Karnataka,FALSE
5592,263137,Bhimtal_BhowaliRd_D (Uttarakhand),Bhimtal_BhowaliRd_D (Uttarakhand),Bhimtal_BhowaliRd_D (Uttarakhand),Bhimtal,Uttarakhand,TRUE
5593,690010,Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta_Mangaram_D (Kerala),Pathanamthitta,Kerala,TRUE
5594,761028,Behrampur_Chatrapur_D (Orissa),Behrampur_Chatrapur_D (Orissa),Behrampur_Chatrapur_D (Orissa),Behrampur,Orissa,TRUE
5595,603109,Tirukalukundram_Krychri_D (Tamil Nadu),Tirukalukundram_Krychri_D (Tamil Nadu),Tirukalukundram_Krychri_D (Tamil Nadu),Tirukalukundram,Tamil Nadu,TRUE
5596,416603,Oras_Ranbambuli_D (Maharashtra),Oras_Ranbambuli_D (Maharashtra),Oras_Ranbambuli_D (Maharashtra),Oras,Maharashtra,TRUE
5597,584140,Raichur_Wadloor_I (Karnataka),Raichur_Wadloor_I (Karnataka),Raichur_Wadloor_I (Karnataka),Raichur,Karnataka,TRUE
5598,606804,Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvannamalai,Tamil Nadu,TRUE
5599,506371,Warangal_Stambampalli_I (Telangana),Warangal_Stambampalli_I (Telangana),Warangal_Stambampalli_I (Telangana),Warangal,Telangana,FALSE
5600,362269,Veraval_Vidhyutnagar_D (Gujarat),Veraval_Vidhyutnagar_D (Gujarat),Veraval_Vidhyutnagar_D (Gujarat),Veraval,Gujarat,TRUE
5601,628712,Vilathikulam_Thoothukudi_DPP (Tamil Nadu),Vilathikulam_Thoothukudi_DPP (Tamil Nadu),Vilathikulam_Thoothukudi_DPP (Tamil Nadu),Vilathikulam,Tamil Nadu,TRUE
5602,445216,Pusad_Central_DPP_2 (Maharashtra),Pusad_Central_DPP_2 (Maharashtra),Pusad_Central_DPP_2 (Maharashtra),Pusad,Maharashtra,FALSE
5603,611104,Nagapattinam_Kadambadi_D (Tamil Nadu),Nagapattinam_Kadambadi_D (Tamil Nadu),Nagapattinam_Kadambadi_D (Tamil Nadu),Nagapattinam,Tamil Nadu,TRUE
5604,403518,Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa,Goa,TRUE
5605,752014,Puri_Purussottamnagar_D (Orissa),Puri_Purussottamnagar_D (Orissa),Puri_Purussottamnagar_D (Orissa),Puri,Orissa,TRUE
5606,786158,JaytishNagar_Chapakhowa_D (Assam),JaytishNagar_Chapakhowa_D (Assam),JaytishNagar_Chapakhowa_D (Assam),JaytishNagar,Assam,FALSE
5607,832107,Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur_Asanbani_H (Jharkhand),Jamshedpur,Jharkhand,TRUE
5608,229881,Malihabad_Mirzaganj_D (Uttar Pradesh),Malihabad_Mirzaganj_D (Uttar Pradesh),Malihabad_Mirzaganj_D (Uttar Pradesh),Malihabad,Uttar Pradesh,TRUE
5609,452015,Indore_Dakachya_GW (Madhya Pradesh),Indore_Dakachya_GW (Madhya Pradesh),Indore_Dakachya_GW (Madhya Pradesh),Indore,Madhya Pradesh,FALSE
5610,301411,Tijara_Ward3_D (Rajasthan),Tijara_Ward3_D (Rajasthan),Tijara_Ward3_D (Rajasthan),Tijara,Rajasthan,TRUE
5611,770017,Rajgangpur_Central_D_2 (Orissa),Rajgangpur_Central_D_2 (Orissa),Rajgangpur_Central_D_2 (Orissa),Rajgangpur,Orissa,TRUE
5612,403004,Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa,Goa,FALSE
5613,411033,Pune_GandharvNagari_L (Maharashtra),Pune_GandharvNagari_L (Maharashtra),Pune_GandharvNagari_L (Maharashtra),Pune,Maharashtra,FALSE
5614,243303,Shahabad_ChandausiRd_D (Uttar Pradesh),Shahabad_ChandausiRd_D (Uttar Pradesh),Shahabad_ChandausiRd_D (Uttar Pradesh),Shahabad-UP,Uttar Pradesh,TRUE
5615,841508,Bhore_Bank_D (Bihar),Bhore_Bank_D (Bihar),Bhore_Bank_D (Bihar),Bhore,Bihar,TRUE
5616,574248,Sullia_Kurunjibhag_D (Karnataka),Sullia_Kurunjibhag_D (Karnataka),Sullia_Kurunjibhag_D (Karnataka),Sullia,Karnataka,TRUE
5617,833217,Noamundi_Toretopa_D (Jharkhand),Noamundi_Toretopa_D (Jharkhand),Noamundi_Toretopa_D (Jharkhand),Noamundi,Jharkhand,TRUE
5618,754218,Kendrapara_Penthapal_D (Orissa),Kendrapara_Penthapal_D (Orissa),Kendrapara_Penthapal_D (Orissa),Kendrapara,Orissa,FALSE
5619,843109,Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur_Gobarsahi_H (Bihar),Muzaffarpur,Bihar,TRUE
5620,686692,Perumbavoor_Kavalangad_D (Kerala),Perumbavoor_Kavalangad_D (Kerala),Perumbavoor_Kavalangad_D (Kerala),Perumbavoor,Kerala,FALSE
5621,450337,Khandwa_TilakNagar_D (Madhya Pradesh),Khandwa_TilakNagar_D (Madhya Pradesh),Khandwa_TilakNagar_D (Madhya Pradesh),Khandwa,Madhya Pradesh,TRUE
5622,606702,Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvannamalai,Tamil Nadu,TRUE
5623,530051,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
5624,394235,Surat_Kacholi_GW (Gujarat),Surat_Kacholi_GW (Gujarat),Surat_Kacholi_GW (Gujarat),Surat,Gujarat,FALSE
5625,585423,Bidar_AdarshClny_D (Karnataka),Bidar_AdarshClny_D (Karnataka),Bidar_AdarshClny_D (Karnataka),Bidar,Karnataka,TRUE
5626,207120,Etah_Asarauli_D (Uttar Pradesh),Etah_Asarauli_D (Uttar Pradesh),Etah_Asarauli_D (Uttar Pradesh),Etah,Uttar Pradesh,TRUE
5627,412804,Wai_SataraRoad_D (Maharashtra),Wai_SataraRoad_D (Maharashtra),Wai_SataraRoad_D (Maharashtra),Wai,Maharashtra,TRUE
5628,413214,Solapur_Kalasenagar_D (Maharashtra),Solapur_Kalasenagar_D (Maharashtra),Solapur_Kalasenagar_D (Maharashtra),Solapur,Maharashtra,TRUE
5629,679304,Valanchery_Vettichira_D (Kerala),Valanchery_Vettichira_D (Kerala),Valanchery_Vettichira_D (Kerala),Valanchery,Kerala,TRUE
5630,342603,Gotan_Bhopalgarh2_DPP (Rajasthan),Gotan_Bhopalgarh2_DPP (Rajasthan),Gotan_Bhopalgarh2_DPP (Rajasthan),Gotan,Rajasthan,FALSE
5631,577244,Sagara_Hotel_D (Karnataka),Sagara_Hotel_D (Karnataka),Sagara_Hotel_D (Karnataka),Sagara,Karnataka,TRUE
5632,689643,Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery,Kerala,TRUE
5633,134107,Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh,Chandigarh,FALSE
5634,497116,Ambikapur_Lakhanpur_DPP (Chhattisgarh),Ambikapur_Lakhanpur_DPP (Chhattisgarh),Ambikapur_Lakhanpur_DPP (Chhattisgarh),Ambikapur,Chhattisgarh,TRUE
5635,562122,Bangalore_Hoskote_L (Karnataka),Bangalore_Hoskote_GW (Karnataka),Bangalore_Hoskote_L (Karnataka),Hoskote,Karnataka,FALSE
5636,851111,DalsinghSarai_Bachhawara_D (Bihar),DalsinghSarai_Bachhawara_D (Bihar),DalsinghSarai_Bachhawara_D (Bihar),Dalsingh Sarai,Bihar,TRUE
5637,203401,Hapur_Sanjaycolony_D (Uttar Pradesh),Hapur_Sanjaycolony_D (Uttar Pradesh),Hapur_Sanjaycolony_D (Uttar Pradesh),Hapur,Uttar Pradesh,TRUE
5638,639101,Tiruchi_Navalur_H (Tamil Nadu),Tiruchi_Navalur_H (Tamil Nadu),Tiruchi_Navalur_H (Tamil Nadu),Tiruchi,Tamil Nadu,TRUE
5639,382345,Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad,Gujarat,FALSE
5640,534401,Eluru_Kalaparru_I (Andhra Pradesh),Eluru_Kalaparru_I (Andhra Pradesh),Eluru_Kalaparru_I (Andhra Pradesh),Eluru,Andhra Pradesh,TRUE
